"ПН","08:30-09:50","1-108","Прикладне програмування","","Норкін Б.","1-15"
"ВТ","08:30-09:50","3-408","","","Рябоконь Г.","1-14"
"ВТ","10:00-11:20","1-331","Архітектура інформаційних управляючих систем","","Гороховський С.","2-15"
"ВТ","11:40-13:00","1-331","Архітектура інформаційних управляючих систем","1","Гороховський С.","2-15"
"ВТ","13:30-14:50","1-108","Архітектура інформаційних управляючих систем","","Гороховський С.","2"
"ВТ","13:30-14:50","1-108","Архітектура інформаційних управляючих систем","1","Гороховський С.","3"
"СР","11:40-13:00","1-310","Основи системного аналізу об’єктів і процесів комп’ютерізації","","Глибовець А.","1-15"
"СР","13:30-14:50","1-331","Основи системного аналізу об’єктів і процесів комп’ютерізації","1","Дубровський В.","1-15"
"СР","15:00-16:20","2-204","Архітектура та комутаційне устаткування кампусних мереж","1","Синявський О.","1-12"
"ЧТ","08:30-09:50","3-408","","","Рябоконь Г.","1-14"
"ЧТ","11:40-13:00","1-206","Архітектура та комутаційне устаткування кампусних мереж","","Синявський О.","1-12"
