"ПН","10:00-11:20","2-204","Математичні основи інформаційних технологій","","Матичин І.","2-13"
"ПН","11:40-13:00","2-204","Математичні основи інформаційних технологій","1","Матичин І.","2-12"
"ВТ","08:30-09:50","1-206","Проблеми некласичної оптимізації","","Щестюк Н.","3,5,7,9,11,13"
"ВТ","08:30-09:50","1-206","Проблеми некласичної оптимізації","1","Щестюк Н.","2,4,6,10,12,14"
"ВТ","10:00-11:20","3-121","Англійська мова","1","Василькова І.","1-15"
"ВТ","13:30-14:50","1-309","Проблеми некласичної оптимізації","","Щестюк Н.","14"
"ВТ","15:00-16:20","1-309","Проблеми некласичної оптимізації","1","Щестюк Н.","14"
"СР","10:00-11:20","1-309","Прикладна алгебра та теорія чисел","","Морозов Д.","7-14"
"СР","11:40-13:00","1-309","Динамічні системи","","Олійник Б.","1-7"
"СР","11:40-13:00","1-309","Прикладна алгебра та теорія чисел","1","Морозов Д.","9-14"
"СР","13:30-14:50","1-310","Динамічні системи","","Олійник Б.","9-12"
"ЧТ","10:00-11:20","3-121","Англійська мова","1","Василькова І.","1,3,5,7,10,12,14"
"ЧТ","11:40-13:00","1-309","Математична біологія","","Дутка В.","1,3,5,7,9,11"
"ЧТ","11:40-13:00","1-309","Математична біологія","1","Дутка В.","2,4,6,10,12,13,14"
"ПТ","13:30-14:50","1-309","Розпізнавання образів","","Михалевич В.","1-13"
