"ПН","08:30-09:50","1-217","Українська мова (за професійним","","Кадочнікова О.","2-11"
"ПН","10:00-11:20","2-404","","","Сергієнко Л.","1-14"
"ПН","10:00-11:20","3-409","","","Новікова Г.","1-14"
"ПН","10:00-11:20","3-121","","","Бражник Н.","1-14"
"ПН","11:40-13:00","1-223","","","Ковальський І.","1-15"
"ПН","15:00-16:20","2-204","","","Норкін Б.","1-15"
"ВТ","11:40-13:00","1-313","","","Бублик В.","1-15"
"ВТ","13:30-14:50","1-331","","","Бублик В.","1-15"
"ВТ","13:30-14:50","2-214","","","Борозенний С.","1-15"
"ВТ","15:00-16:20","1-331","","","Жежерун О.","1-15"
"ВТ","15:00-16:20","2-214","","","Борозенний С.","1-15"
"ВТ","16:30-17:50","1-306","","","Бучко О.","1-15"
"ВТ","16:30-17:50","2-214","","","Борозенний С.","1-15"
"СР","10:00-11:20","1-112","","","Кадочнікова О.","1-14"
"СР","13:30-14:50","2-204","Веб-технології	 ММОЗ - Математичні методи обробки зображень","1","Гречко А.","1-14"
"ЧТ","08:30-09:50","1-310","","","Бучко О.","1-14"
"ЧТ","11:40-13:00","1-306","","","Норкін Б.","1-15"
"ЧТ","13:30-14:50","1-306","","","Норкін Б.","1-15"
"ПТ","10:00-11:20","2-404","","","Сергієнко Л.","1-14"
"ПТ","10:00-11:20","3-409","","","Новікова Г.","1-14"
"ПТ","10:00-11:20","3-121","","","Бражник Н.","1-14"
"ПТ","11:40-13:00","1-225","Алгебра і теорія чисел ПСВУ - Психологія соціального впливу та успіху","1","Дяченко С.","1-14"
"ПТ","13:30-14:50","1-225","Алгебра і теорія чисел ПСВУ - Психологія соціального впливу та успіху","2","Дяченко С.","1-14"
"ПТ","13:30-14:50","1-313","","","Брик О.","10-13"
"ПТ","15:00-16:20","1-313","","","Брик О.","10-13"
"ПТ","16:30-17:50","3-302","","","Брик О.","10-13"
"ПТ","16:30-17:50","3-302","","","Брик О.","5-9"
