"ВТ","08:30-09:50","1-310","Методика викладання інформатики у вищій школі","","Ковальський І.","1-7"
"ВТ","10:00-11:20","1-310","Методика викладання інформатики у вищій школі","1","Ковальський І.","9-14"
"ВТ","11:40-13:00","1-112","Методика викладання інформатики у вищій школі","1","Ковальський І.","1-7"
"ВТ","13:30-14:50","2-204","Пошукові системи і розподілена обробка даних","","Матичин І.","1-15"
"ВТ","15:00-16:20","1-310","Пошукові системи і розподілена обробка даних","1","Матичин І.","1-15"
"СР","13:30-14:50","1-108","Сервери застосунків (aplication server) Java EE(J2)","1","Ющенко Ю.","1-12"
"ЧТ","11:40-13:00","1-307","Проектування і розробка інтелектуальних систем","","Мейтус В.","1-15"
"ЧТ","13:30-14:50","1-310","Проектування і розробка інтелектуальних систем","1","Мейтус В.","1-15"
"ЧТ","15:00-16:20","1-225","Філософія (поглиблений курс)","","Лютий Т.","1-15"
"ПТ","13:30-14:50","1-208","Компонентно-орієнтоване і аспектне програмування","1","Ковалюк Т.","1-14"
