"ПН","08:30-09:50","1-306","Системи обробки фінансової інформації","","Тригуб О.","1-15"
"ПН","10:00-11:20","1-306","Системи обробки фінансової інформації","1","Тригуб О.","1-15"
"ВТ","13:30-14:50","1-208","","","Михалевич В.","1-14"
"ВТ","15:00-16:20","1-112","","","Михалевич В.","1-14"
"ВТ","16:30-17:50","1-112","","","Михалевич В.","1"
"СР","10:00-11:20","1-208","Фінансова математика","","Щестюк Н.","1-15"
"СР","11:40-13:00","1-208","Фінансова математика","1","Щестюк Н.","1-15"
"ЧТ","15:00-16:20","1-225","Філософія (поглиблений курс)","","Лютий Т.","1-15"
"ПТ","11:40-13:00","1-309","Моделювання складних систем","1","Кошманенко В.","3-15"
"ПТ","13:30-14:50","2-214","","","Кошманенко В.","7,10"
